Parameter_name	NWIS_parameter_code	CASRN	Analyzing_laboratory	Common_primary_use_group	Method	Method_of_quantitation	Detection_limit	Reporting_limit	Units_of_measurement	Method_citation
Fluoxetine	67450	54910-89-3	NWQL	Pharmaceutical	LC/MS-MS	RLDQC	13	26	ng/L	"Furlong and others, 2014"
Norfluoxetine	67451	56161-73-0	NWQL	Pharmaceutical	LC/MS-MS	RLDQC	40	80	ng/L	"Furlong and others, 2014"
Ranitidine	67452	66357-35-5	NWQL	Pharmaceutical	LC/MS-MS	RLDQC	96	192	ng/L	"Furlong and others, 2014"
Sulfamethoxazole	67454	723-46-6	NWQL	Pharmaceutical	LC/MS-MS	RLDQC	5	20	ng/L	"Furlong and others, 2014"
Thiabendazole	67455	148-79-8	NWQL	Pharmaceutical	LC/MS-MS	RLDQC	2	4	ng/L	"Furlong and others, 2014"
Trimethoprim	67456	738-70-5	NWQL	Pharmaceutical	LC/MS-MS	RLDQC	1.6	20	ng/L	"Furlong and others, 2014"
Warfarin	67457	81-81-2	NWQL	Pharmaceutical	LC/MS-MS	RLDQC	3	6	ng/L	"Furlong and others, 2014"
Morphine	67458	57-27-2	NWQL	Pharmaceutical	LC/MS-MS	RLDQC	20	80	ng/L	"Furlong and others, 2014"
Hydrocortisone	67459	50-23-7	NWQL	Pharmaceutical	LC/MS-MS	RLDQC	73	147	ng/L	"Furlong and others, 2014"
Pseudoephedrine + Ephedrine	67460	--	NWQL	Pharmaceutical	LC/MS-MS	RLDQC	1.5	6	ng/L	"Furlong and others, 2014"
Amphetamine	67461	300-62-9	NWQL	Pharmaceutical	LC/MS-MS	RLDQC	1.1	4.4	ng/L	"Furlong and others, 2014"
Lidocaine	67462	137-58-6	NWQL	Pharmaceutical	LC/MS-MS	RLDQC	2	4	ng/L	"Furlong and others, 2014"
Meprobamate	67464	57-53-4	NWQL	Pharmaceutical	LC/MS-MS	RLDQC	6	12	ng/L	"Furlong and others, 2014"
Phenytoin	67466	57-41-0	NWQL	Pharmaceutical	LC/MS-MS	RLDQC	94	188	ng/L	"Furlong and others, 2014"
Prednisone	67467	53-03-2	NWQL	Pharmaceutical	LC/MS-MS	RLDQC	35	105	ng/L	"Furlong and others, 2014"
Dextromethorphan	67468	125-71-3	NWQL	Pharmaceutical	LC/MS-MS	RLDQC	1.6	8.2	ng/L	"Furlong and others, 2014"
Oxazepam	67469	604-75-1	NWQL	Pharmaceutical	LC/MS-MS	RLDQC	113	226	ng/L	"Furlong and others, 2014"
Lorazepam	67470	846-49-1	NWQL	Pharmaceutical	LC/MS-MS	RLDQC	101	202	ng/L	"Furlong and others, 2014"
Temazepam	67471	846-50-4	NWQL	Pharmaceutical	LC/MS-MS	RLDQC	9.2	18	ng/L	"Furlong and others, 2014"
Verapamil	67472	52-53-9	NWQL	Pharmaceutical	LC/MS-MS	RLDQC	70	140	ng/L	"Furlong and others, 2014"
Triamterene	67475	396-01-0	NWQL	Pharmaceutical	LC/MS-MS	RLDQC	2.6	5.2	ng/L	"Furlong and others, 2014"
Sulfamethizole	67476	144-82-1	NWQL	Pharmaceutical	LC/MS-MS	RLDQC	21	104	ng/L	"Furlong and others, 2014"
Antipyrine	67477	60-80-0	NWQL	Pharmaceutical	LC/MS-MS	RLDQC	25	50	ng/L	"Furlong and others, 2014"
Fluconazole	67478	86386-73-4	NWQL	Pharmaceutical	LC/MS-MS	RLDQC	15	30	ng/L	"Furlong and others, 2014"
Nizatidine	67479	76963-41-2	NWQL	Pharmaceutical	LC/MS-MS	RLDQC	40	80	ng/L	"Furlong and others, 2014"
Pentoxifylline	67480	6493-05-6	NWQL	Pharmaceutical	LC/MS-MS	RLDQC	4.7	9.4	ng/L	"Furlong and others, 2014"
Iminostilbene	67481	256-96-2	NWQL	Pharmaceutical	LC/MS-MS	RLDQC	73	145	ng/L	"Furlong and others, 2014"
Prednisolone	67483	50-24-8	NWQL	Pharmaceutical	LC/MS-MS	RLDQC	75	150	ng/L	"Furlong and others, 2014"
Acyclovir	67484	59277-89-3	NWQL	Pharmaceutical	LC/MS-MS	RLDQC	4.4	22	ng/L	"Furlong and others, 2014"
Betamethasone	67485	378-44-9	NWQL	Pharmaceutical	LC/MS-MS	RLDQC	57	114	ng/L	"Furlong and others, 2014"
Ezetimibe	67487	163222-33-1	NWQL	Pharmaceutical	LC/MS-MS	RLDQC	80	205	ng/L	"Furlong and others, 2014"
Loratadine	67488	79794-75-5	NWQL	Pharmaceutical	LC/MS-MS	RLDQC	1.4	7	ng/L	"Furlong and others, 2014"
Fenofibrate	67489	49562-28-9	NWQL	Pharmaceutical	LC/MS-MS	RLDQC	3.2	6.4	ng/L	"Furlong and others, 2014"
Metformin	67492	657-24-9	NWQL	Pharmaceutical	LC/MS-MS	RLDQC	6.6	13	ng/L	"Furlong and others, 2014"
Nicotine	67493	54-11-5	NWQL	Pharmaceutical	LC/MS-MS	RLDQC	29	58	ng/L	"Furlong and others, 2014"
Theophylline	67494	58-55-9	NWQL	Pharmaceutical	LC/MS-MS	RLDQC	40	80	ng/L	"Furlong and others, 2014"
Oxycodone	67495	76-42-6	NWQL	Pharmaceutical	LC/MS-MS	RLDQC	5	25	ng/L	"Furlong and others, 2014"
Phendimetrazine	67496	634-03-7	NWQL	Pharmaceutical	LC/MS-MS	RLDQC	5	20	ng/L	"Furlong and others, 2014"
Chlorpheniramine	67497	132-22-9	NWQL	Pharmaceutical	LC/MS-MS	RLDQC	27	54	ng/L	"Furlong and others, 2014"
Carisoprodol	67498	78-44-4	NWQL	Pharmaceutical	LC/MS-MS	RLDQC	6	20	ng/L	"Furlong and others, 2014"
Diazepam	67499	439-14-5	NWQL	Pharmaceutical	LC/MS-MS	RLDQC	2	4	ng/L	"Furlong and others, 2014"
Methadone	67500	76-99-3	NWQL	Pharmaceutical	LC/MS-MS	RLDQC	3.8	7.6	ng/L	"Furlong and others, 2014"
Methocarbamol	67501	532-03-6	NWQL	Pharmaceutical	LC/MS-MS	RLDQC	5.6	11	ng/L	"Furlong and others, 2014"
Atenolol	67502	29122-68-7	NWQL	Pharmaceutical	LC/MS-MS	RLDQC	4.8	13	ng/L	"Furlong and others, 2014"
Sulfadimethoxine	67503	122-11-2	NWQL	Pharmaceutical	LC/MS-MS	RLDQC	7	14	ng/L	"Furlong and others, 2014"
Metaxalone	67504	1665-48-1	NWQL	Pharmaceutical	LC/MS-MS	RLDQC	7.8	16	ng/L	"Furlong and others, 2014"
Citalopram	67505	59729-33-8	NWQL	Pharmaceutical	LC/MS-MS	RLDQC	3.3	6.6	ng/L	"Furlong and others, 2014"
Hydrocodone	67506	125-29-1	NWQL	Pharmaceutical	LC/MS-MS	RLDQC	20	40	ng/L	"Furlong and others, 2014"
Valacyclovir	67507	124832-26-4	NWQL	Pharmaceutical	LC/MS-MS	RLDQC	33	163	ng/L	"Furlong and others, 2014"
Tiotropium	67508	186691-13-4	NWQL	Pharmaceutical	LC/MS-MS	RLDQC	25	50	ng/L	"Furlong and others, 2014"
Fexofenadine	67510	83799-24-0	NWQL	Pharmaceutical	LC/MS-MS	RLDQC	22	44	ng/L	"Furlong and others, 2014"
Oseltamivir	67511	196618-13-0	NWQL	Pharmaceutical	LC/MS-MS	RLDQC	2.9	15	ng/L	"Furlong and others, 2014"
Omeprazole + Esomprazole	67512	--	NWQL	Pharmaceutical	LC/MS-MS	RLDQC	8.2	16	ng/L	"Furlong and others, 2014"
Methyl-1H-benzotriazole	67514	29385-43-1	NWQL	Pharmaceutical	LC/MS-MS	RLDQC	28	80	ng/L	"Furlong and others, 2014"
Loperamide	67515	53179-11-6	NWQL	Pharmaceutical	LC/MS-MS	RLDQC	40	80	ng/L	"Furlong and others, 2014"
Propranolol	67516	525-66-6	NWQL	Pharmaceutical	LC/MS-MS	RLDQC	4.5	26	ng/L	"Furlong and others, 2014"
Tramadol	67517	27203-92-5	NWQL	Pharmaceutical	LC/MS-MS	RLDQC	3.7	7.4	ng/L	"Furlong and others, 2014"
Clonidine	67518	4205-90-7	NWQL	Pharmaceutical	LC/MS-MS	RLDQC	30	61	ng/L	"Furlong and others, 2014"
Diltiazem	67519	42399-41-7	NWQL	Pharmaceutical	LC/MS-MS	RLDQC	5.1	10	ng/L	"Furlong and others, 2014"
Fluvoxamine	67521	54739-18-3	NWQL	Pharmaceutical	LC/MS-MS	RLDQC	27	80	ng/L	"Furlong and others, 2014"
Amitriptyline	67522	50-48-6	NWQL	Pharmaceutical	LC/MS-MS	RLDQC	19	37	ng/L	"Furlong and others, 2014"
Metoprolol	67523	51384-51-1	NWQL	Pharmaceutical	LC/MS-MS	RLDQC	5	10	ng/L	"Furlong and others, 2014"
Promethazine	67524	60-87-7	NWQL	Pharmaceutical	LC/MS-MS	RLDQC	57	114	ng/L	"Furlong and others, 2014"
Methotrexate	67525	59-05-2	NWQL	Pharmaceutical	LC/MS-MS	RLDQC	26	52	ng/L	"Furlong and others, 2014"
Paroxetine	67527	61869-08-7	NWQL	Pharmaceutical	LC/MS-MS	RLDQC	36	72	ng/L	"Furlong and others, 2014"
Sertraline	67528	79617-96-2	NWQL	Pharmaceutical	LC/MS-MS	RLDQC	3.2	16	ng/L	"Furlong and others, 2014"
Fluticasone propionate	67529	80474-14-2	NWQL	Pharmaceutical	LC/MS-MS	RLDQC	10	30	ng/L	"Furlong and others, 2014"
Raloxifene	67530	84449-90-1	NWQL	Pharmaceutical	LC/MS-MS	RLDQC	40	80	ng/L	"Furlong and others, 2014"
Sitagliptin	67531	486460-32-6	NWQL	Pharmaceutical	LC/MS-MS	RLDQC	19	97	ng/L	"Furlong and others, 2014"
Norsertraline	67532	87857-41-8	NWQL	Pharmaceutical	LC/MS-MS	RLDQC	40	80	ng/L	"Furlong and others, 2014"
Venlafaxine	67534	93413-69-5	NWQL	Pharmaceutical	LC/MS-MS	RLDQC	2.6	5.2	ng/L	"Furlong and others, 2014"
10-Hydroxy-amitriptyline	67995	64520-05-4	NWQL	Pharmaceutical	LC/MS-MS	RLDQC	1.7	8.3	ng/L	"Furlong and others, 2014"
Benztropine	67997	86-13-5	NWQL	Pharmaceutical	LC/MS-MS	RLDQC	22	44	ng/L	"Furlong and others, 2014"
N-Desmethyldiltiazem	67999	--	NWQL	Pharmaceutical	LC/MS-MS	RLDQC	35	70	ng/L	"Furlong and others, 2014"
Famotidine	68000	76824-35-6	NWQL	Pharmaceutical	LC/MS-MS	RLDQC	17	34	ng/L	"Furlong and others, 2014"
Glipizide	68001	29094-61-9	NWQL	Pharmaceutical	LC/MS-MS	RLDQC	16	80	ng/L	"Furlong and others, 2014"
Glyburide	68002	10238-21-8	NWQL	Pharmaceutical	LC/MS-MS	RLDQC	2	4	ng/L	"Furlong and others, 2014"
Hydroxyzine	68005	68-88-2	NWQL	Pharmaceutical	LC/MS-MS	RLDQC	1.5	7.4	ng/L	"Furlong and others, 2014"
Nadolol	68006	42200-33-9	NWQL	Pharmaceutical	LC/MS-MS	RLDQC	4	20	ng/L	"Furlong and others, 2014"
Norverapamil	68007	67018-85-3	NWQL	Pharmaceutical	LC/MS-MS	RLDQC	4.3	8.6	ng/L	"Furlong and others, 2014"
Phenazopyridine	68008	94-78-0	NWQL	Pharmaceutical	LC/MS-MS	RLDQC	4.1	13	ng/L	"Furlong and others, 2014"
Propoxyphene	68009	469-62-5	NWQL	Pharmaceutical	LC/MS-MS	RLDQC	14	28	ng/L	"Furlong and others, 2014"
Quinine	68011	130-95-0	NWQL	Pharmaceutical	LC/MS-MS	RLDQC	16	80	ng/L	"Furlong and others, 2014"
Fadrozole	68012	102676-47-1	NWQL	Pharmaceutical	LC/MS-MS	RLDQC	6.3	13	ng/L	"Furlong and others, 2014"
Ketoconazole	68014	65277-42-1	NWQL	Pharmaceutical	LC/MS-MS	RLDQC	56	113	ng/L	"Furlong and others, 2014"
Tamoxifen	68015	10540-29-1	NWQL	Pharmaceutical	LC/MS-MS	MRL	--	270	ng/L	"Furlong and others, 2014"
Nevirapine	68017	129618-40-2	NWQL	Pharmaceutical	LC/MS-MS	RLDQC	23	46	ng/L	"Furlong and others, 2014"
Lamivudine	68018	134678-17-4	NWQL	Pharmaceutical	LC/MS-MS	RLDQC	3.2	16	ng/L	"Furlong and others, 2014"
Penciclovir	68021	39809-25-1	NWQL	Pharmaceutical	LC/MS-MS	RLDQC	40	80	ng/L	"Furlong and others, 2014"
Abacavir	68022	136470-78-5	NWQL	Pharmaceutical	LC/MS-MS	RLDQC	1	2	ng/L	"Furlong and others, 2014"
Alprazolam	68250	28981-97-7	NWQL	Pharmaceutical	LC/MS-MS	RLDQC	6.6	21	ng/L	"Furlong and others, 2014"
Desvenlafaxine	68251	93413-62-8	NWQL	Pharmaceutical	LC/MS-MS	RLDQC	42	84	ng/L	"Furlong and others, 2014"
Nordiazepam	68252	1088-11-5	NWQL	Pharmaceutical	LC/MS-MS	RLDQC	10	20	ng/L	"Furlong and others, 2014"
Benfluralin	51643	1861-40-1	OCRL	Pesticide	LC/MS-MS	MDL	--	0.5	ng/L	"Gross and others, 2023"
Dithiopyr	51837	97886-45-8	OCRL	Pesticide	LC/MS-MS	MDL	--	0.5	ng/L	"Gross and others, 2023"
Fenpyroximate	51838	134098-61-6	OCRL	Pesticide	LC/MS-MS	MDL	--	0.5	ng/L	"Gross and others, 2023"
Flufenacet	51840	142459-58-3	OCRL	Pesticide	LC/MS-MS	MDL	--	0.5	ng/L	"Gross and others, 2023"
Flutolanil	51842	66332-96-5	OCRL	Pesticide	LC/MS-MS	MDL	--	0.5	ng/L	"Gross and others, 2023"
Quinoxyfen	51847	124495-18-7	OCRL	Pesticide	LC/MS-MS	MDL	--	0.5	ng/L	"Gross and others, 2023"
Fenamidone	51848	161326-34-7	OCRL	Pesticide	LC/MS-MS	MDL	--	0.5	ng/L	"Gross and others, 2023"
Picoxystrobin	51850	117428-22-5	OCRL	Pesticide	LC/MS-MS	MDL	--	0.5	ng/L	"Gross and others, 2023"
Fluxapyroxad	51851	907204-31-3	OCRL	Pesticide	LC/MS-MS	MDL	--	0.5	ng/L	"Gross and others, 2023"
Fluopicolide	51852	239110-15-7	OCRL	Pesticide	LC/MS-MS	MDL	--	0.5	ng/L	"Gross and others, 2023"
Cyazofamid	51853	120116-88-3	OCRL	Pesticide	LC/MS-MS	MDL	--	0.5	ng/L	"Gross and others, 2023"
Mandipropamid	51854	374726-62-2	OCRL	Pesticide	LC/MS-MS	MDL	--	0.5	ng/L	"Gross and others, 2023"
Chlorantraniliprole	51856	500008-45-7	OCRL	Pesticide	LC/MS-MS	MDL	--	0.5	ng/L	"Gross and others, 2023"
Imidacloprid urea	51859	120868-66-8	OCRL	Pesticide	LC/MS-MS	MDL	--	0.5	ng/L	"Gross and others, 2023"
Fluridone	51864	59756-60-4	OCRL	Pesticide	LC/MS-MS	MDL	--	0.5	ng/L	"Gross and others, 2023"
Desthio-prothioconazole	51865	120983-64-4	OCRL	Pesticide	LC/MS-MS	MDL	--	0.5	ng/L	"Gross and others, 2023"
Tolfenpyrad	51866	129558-76-5	OCRL	Pesticide	LC/MS-MS	MDL	--	0.5	ng/L	"Gross and others, 2023"
Fluopyram	52646	658066-35-4	OCRL	Pesticide	LC/MS-MS	MDL	--	0.5	ng/L	"Gross and others, 2023"
Sedaxane	52648	874967-67-6	OCRL	Pesticide	LC/MS-MS	MDL	--	0.5	ng/L	"Gross and others, 2023"
Benzovindiflupyr	52652	1072957-71-1	OCRL	Pesticide	LC/MS-MS	MDL	--	0.5	ng/L	"Gross and others, 2023"
Ipconazole	52762	125225-28-7	OCRL	Pesticide	LC/MS-MS	MDL	--	0.5	ng/L	"Gross and others, 2023"
Nitrapyrin	52763	1929-82-4	OCRL	Pesticide	LC/MS-MS	MDL	--	0.5	ng/L	"Gross and others, 2023"
Flupyradifurone	52764	951659-40-8	OCRL	Pesticide	LC/MS-MS	MDL	--	0.5	ng/L	"Gross and others, 2023"
Oxathiapiprolin	52766	1003318-67-9	OCRL	Pesticide	LC/MS-MS	MDL	--	0.5	ng/L	"Gross and others, 2023"
Tricyclazole	52768	41814-78-2	OCRL	Pesticide	LC/MS-MS	MDL	--	0.5	ng/L	"Gross and others, 2023"
Penthiopyrad	52769	183675-82-3	OCRL	Pesticide	LC/MS-MS	MDL	--	0.5	ng/L	"Gross and others, 2023"
Thiamethoxam CGA-355190	53568	902493-06-5	OCRL	Pesticide	LC/MS-MS	MDL	--	0.5	ng/L	"Gross and others, 2023"
Isofetamid	53569	875915-78-9	OCRL	Pesticide	LC/MS-MS	MDL	--	0.5	ng/L	"Gross and others, 2023"
Indaziflam	53960	950782-86-2	OCRL	Pesticide	LC/MS-MS	MDL	--	0.5	ng/L	"Gross and others, 2023"
Metalaxyl CGA 94689	54345	--	OCRL	Pesticide	LC/MS-MS	MDL	--	0.5	ng/L	"Gross and others, 2023"
Tebuconazole t-Butyl-OH	54348	212267-64-6	OCRL	Pesticide	LC/MS-MS	MDL	--	0.5	ng/L	"Gross and others, 2023"
Boscalid M510F01	54349	661463-87-2	OCRL	Pesticide	LC/MS-MS	MDL	--	0.5	ng/L	"Gross and others, 2023"
Florpyrauxifen-benzyl	54356	1390661-72-9	OCRL	Pesticide	LC/MS-MS	MDL	--	0.5	ng/L	"Gross and others, 2023"
Picarbutrazox	54357	500207-04-5	OCRL	Pesticide	LC/MS-MS	MDL	--	0.5	ng/L	"Gross and others, 2023"
Mandestrobin	54358	173662-97-0	OCRL	Pesticide	LC/MS-MS	MDL	--	0.5	ng/L	"Gross and others, 2023"
Pydiflumetofen	54359	1228284-64-7	OCRL	Pesticide	LC/MS-MS	MDL	--	0.5	ng/L	"Gross and others, 2023"
Valifenalate	54360	283159-90-0	OCRL	Pesticide	LC/MS-MS	MDL	--	0.5	ng/L	"Gross and others, 2023"
Halauxifen-methyl	54361	943831-98-9	OCRL	Pesticide	LC/MS-MS	MDL	--	0.5	ng/L	"Gross and others, 2023"
Fluindapyr	54362	1383809-87-7	OCRL	Pesticide	LC/MS-MS	MDL	--	0.5	ng/L	"Gross and others, 2023"
Broflanilide	54363	1207727-04-5	OCRL	Pesticide	LC/MS-MS	MDL	--	0.5	ng/L	"Gross and others, 2023"
Atrazine	65065	1912-24-9	OCRL	Pesticide	LC/MS-MS	MDL	--	0.5	ng/L	"Gross and others, 2023"
Bifenthrin	65067	82657-04-3	OCRL	Pesticide	LC/MS-MS	MDL	--	0.5	ng/L	"Gross and others, 2023"
Carbaryl	65069	63-25-2	OCRL	Pesticide	LC/MS-MS	MDL	--	0.5	ng/L	"Gross and others, 2023"
Carbofuran	65070	1563-66-2	OCRL	Pesticide	LC/MS-MS	MDL	--	0.5	ng/L	"Gross and others, 2023"
Cyfluthrin	65074	68359-37-5	OCRL	Pesticide	LC/MS-MS	MDL	--	0.5	ng/L	"Gross and others, 2023"
Cypermethrin	65075	52315-07-8	OCRL	Pesticide	LC/MS-MS	MDL	--	0.5	ng/L	"Gross and others, 2023"
Dimethyl tetrachloroterephthalate (DCPA)	65076	1861-32-1	OCRL	Pesticide	LC/MS-MS	MDL	--	0.5	ng/L	"Gross and others, 2023"
Diazinon	65078	333-41-5	OCRL	Pesticide	LC/MS-MS	MDL	--	0.5	ng/L	"Gross and others, 2023"
Esfenvalerate	65081	66230-04-4	OCRL	Pesticide	LC/MS-MS	MDL	--	0.5	ng/L	"Gross and others, 2023"
Ethalfluralin	65082	55283-68-6	OCRL	Pesticide	LC/MS-MS	MDL	--	0.5	ng/L	"Gross and others, 2023"
Hexazinone	65085	51235-04-2	OCRL	Pesticide	LC/MS-MS	MDL	--	0.5	ng/L	"Gross and others, 2023"
Malathion	65087	121-75-5	OCRL	Pesticide	LC/MS-MS	MDL	--	0.5	ng/L	"Gross and others, 2023"
Metolachlor	65090	51218-45-2	OCRL	Pesticide	LC/MS-MS	MDL	--	0.5	ng/L	"Gross and others, 2023"
Napropamide	65092	15299-99-7	OCRL	Pesticide	LC/MS-MS	MDL	--	0.5	ng/L	"Gross and others, 2023"
"p,p'-DDD"	65094	72-54-8	OCRL	Pesticide	LC/MS-MS	MDL	--	0.5	ng/L	"Gross and others, 2023"
"p,p'-DDE"	65095	72-55-9	OCRL	Pesticide	LC/MS-MS	MDL	--	0.5	ng/L	"Gross and others, 2023"
"p,p'-DDT"	65096	50-29-3	OCRL	Pesticide	LC/MS-MS	MDL	--	0.5	ng/L	"Gross and others, 2023"
Phosmet	65101	732-11-6	OCRL	Pesticide	LC/MS-MS	MDL	--	0.5	ng/L	"Gross and others, 2023"
Piperonyl butoxide	65102	51-03-6	OCRL	Pesticide	LC/MS-MS	MDL	--	0.5	ng/L	"Gross and others, 2023"
Prometryn	65103	7287-19-6	OCRL	Pesticide	LC/MS-MS	MDL	--	0.5	ng/L	"Gross and others, 2023"
tau-Fluvalinate	65106	102851-06-9	OCRL	Pesticide	LC/MS-MS	MDL	--	0.5	ng/L	"Gross and others, 2023"
Thiobencarb	65107	28249-77-6	OCRL	Pesticide	LC/MS-MS	MDL	--	0.5	ng/L	"Gross and others, 2023"
Trifluralin	65108	1582-09-8	OCRL	Pesticide	LC/MS-MS	MDL	--	0.5	ng/L	"Gross and others, 2023"
Azoxystrobin	66589	131860-33-8	OCRL	Pesticide	LC/MS-MS	MDL	--	0.5	ng/L	"Gross and others, 2023"
Cyproconazole	66593	94361-06-5	OCRL	Pesticide	LC/MS-MS	MDL	--	0.5	ng/L	"Gross and others, 2023"
Diuron	66598	330-54-1	OCRL	Pesticide	LC/MS-MS	MDL	--	0.5	ng/L	"Gross and others, 2023"
Fipronil	66604	120068-37-3	OCRL	Pesticide	LC/MS-MS	MDL	--	0.5	ng/L	"Gross and others, 2023"
Desulfinylfipronil	66607	205650-65-3	OCRL	Pesticide	LC/MS-MS	MDL	--	0.5	ng/L	"Gross and others, 2023"
Fipronil sulfide	66610	120067-83-6	OCRL	Pesticide	LC/MS-MS	MDL	--	0.5	ng/L	"Gross and others, 2023"
Fipronil sulfone	66613	120068-36-2	OCRL	Pesticide	LC/MS-MS	MDL	--	0.5	ng/L	"Gross and others, 2023"
Metconazole	66620	125116-23-6	OCRL	Pesticide	LC/MS-MS	MDL	--	0.5	ng/L	"Gross and others, 2023"
Myclobutanil	66632	88671-89-0	OCRL	Pesticide	LC/MS-MS	MDL	--	0.5	ng/L	"Gross and others, 2023"
Propiconazole	66643	60207-90-1	OCRL	Pesticide	LC/MS-MS	MDL	--	0.5	ng/L	"Gross and others, 2023"
Pyraclostrobin	66646	175013-18-0	OCRL	Pesticide	LC/MS-MS	MDL	--	0.5	ng/L	"Gross and others, 2023"
Tebuconazole	66649	107534-96-3	OCRL	Pesticide	LC/MS-MS	MDL	--	0.5	ng/L	"Gross and others, 2023"
Tetraconazole	66654	112281-77-3	OCRL	Pesticide	LC/MS-MS	MDL	--	0.5	ng/L	"Gross and others, 2023"
Trifloxystrobin	66660	141517-21-7	OCRL	Pesticide	LC/MS-MS	MDL	--	0.5	ng/L	"Gross and others, 2023"
