USGS_station_number	Sample_date_(yyyymmdd)	Sample_time_(HHMM)	Medium_code	NWIS_parameter_code	Parameter_name	Remark_and_result	Units_of_measurement	Analyzing_laboratory	 
T451800107220007	20220809	1140	WG	01042	Copper	<1.00	ug/L	RCL	
T453200107250023	20220810	1150	WG	01042	Copper	<1.00	ug/L	RCL	
T451800107540001	20220808	1200	WG	01042	Copper	12	ug/L	RCL	
T451257107225201	20220810	1200	WS	01042	Copper	<1.00	ug/L	RCL	
T452500107234008	20220809	1220	WG	01042	Copper	13	ug/L	RCL	
T453254107251316	20220809	1225	WS	01042	Copper	<1.00	ug/L	RCL	
T453600107270018	20220810	1230	WT	01042	Copper	32	ug/L	RCL	
T452000107520002	20220808	1240	WG	01042	Copper	45	ug/L	RCL	
T452700107230017	20220809	1300	WG	01042	Copper	5	ug/L	RCL	
T452700107430003	20220808	1330	WG	01042	Copper	4	ug/L	RCL	
T453535107275515	20220809	1340	WS	01042	Copper	<1.00	ug/L	RCL	
T453200107250011	20220810	0750	WG	01042	Copper	<1.00	ug/L	RCL	
T450800107230004	20220809	0820	WG	01042	Copper	34	ug/L	RCL	
T454300107330012	20220810	0840	WG	01042	Copper	11	ug/L	RCL	
T453615107271309	20220810	0900	WS	01042	Copper	<1.00	ug/L	RCL	
T450754107240301	20220809	0910	WT	01042	Copper	6	ug/L	RCL	
T452540108321601	20220808	0920	WT	01042	Copper	2	ug/L	RCL	
T453900107280021	20220810	0930	WG	01042	Copper	22	ug/L	RCL	
T451257107225201	20220809	0930	WS	01042	Copper	<1.00	ug/L	RCL	
T451400107230005	20220809	0950	WG	01042	Copper	10	ug/L	RCL	
T453657107270401	20220810	1000	WS	01045	Iron	227	ug/L	RCL	
T452500108320026	20220808	1000	WT	01045	Iron	<1.00	ug/L	RCL	
T453800107270022	20220810	1020	WG	01045	Iron	166	ug/L	RCL	
T451800107210006	20220809	1030	WG	01045	Iron	290	ug/L	RCL	
T451943107212513	20220809	1030	WS	01045	Iron	271	ug/L	RCL	
T453500107270024	20220810	1100	WT	01045	Iron	<1.00	ug/L	RCL	
T451852107214501	20220809	1110	WT	01045	Iron	157	ug/L	RCL	
T451800107220007	20220809	1140	WG	01045	Iron	316	ug/L	RCL	
T453200107250023	20220810	1150	WG	01045	Iron	4	ug/L	RCL	
T451800107540001	20220808	1200	WG	01045	Iron	<1.00	ug/L	RCL	
T451257107225201	20220810	1200	WS	01045	Iron	252	ug/L	RCL	
T452500107234008	20220809	1220	WG	01045	Iron	4	ug/L	RCL	
T453254107251316	20220809	1225	WS	01045	Iron	163	ug/L	RCL	
T453600107270018	20220810	1230	WT	01045	Iron	<1.00	ug/L	RCL	
T452000107520002	20220808	1240	WG	01045	Iron	41	ug/L	RCL	
T452700107230017	20220809	1300	WG	01045	Iron	2040	ug/L	RCL	
T452700107430003	20220808	1330	WG	01045	Iron	<1.00	ug/L	RCL	
T453535107275515	20220809	1340	WS	01045	Iron	204	ug/L	RCL	
T453200107250011	20220810	0750	WG	01045	Iron	9	ug/L	RCL	
T450800107230004	20220809	0820	WG	01045	Iron	528	ug/L	RCL	
T454300107330012	20220810	0840	WG	01045	Iron	4	ug/L	RCL	
T453615107271309	20220810	0900	WS	01045	Iron	207	ug/L	RCL	
T450754107240301	20220809	0910	WT	01045	Iron	21	ug/L	RCL	
T452540108321601	20220808	0920	WT	01045	Iron	<1.00	ug/L	RCL	
T453900107280021	20220810	0930	WG	01045	Iron	268	ug/L	RCL	
T451257107225201	20220809	0930	WS	01045	Iron	275	ug/L	RCL	
T451400107230005	20220809	0950	WG	01045	Iron	65	ug/L	RCL	
T453657107270401	20220810	1000	WS	01051	Lead	<0.400	ug/L	RCL	
T452500108320026	20220808	1000	WT	01051	Lead	<0.400	ug/L	RCL	
T453800107270022	20220810	1020	WG	01051	Lead	<0.400	ug/L	RCL	
T451800107210006	20220809	1030	WG	01051	Lead	<0.400	ug/L	RCL	
T451943107212513	20220809	1030	WS	01051	Lead	<0.400	ug/L	RCL	
T453500107270024	20220810	1100	WT	01051	Lead	<0.400	ug/L	RCL	
T451852107214501	20220809	1110	WT	01051	Lead	0.5	ug/L	RCL	
T451800107220007	20220809	1140	WG	01051	Lead	<0.400	ug/L	RCL	
T453200107250023	20220810	1150	WG	01051	Lead	<0.400	ug/L	RCL	
T451800107540001	20220808	1200	WG	01051	Lead	<0.400	ug/L	RCL	
T451257107225201	20220810	1200	WS	01051	Lead	0.7	ug/L	RCL	
T452500107234008	20220809	1220	WG	01051	Lead	<0.400	ug/L	RCL	
T453254107251316	20220809	1225	WS	01051	Lead	<0.400	ug/L	RCL	
T453600107270018	20220810	1230	WT	01051	Lead	<0.400	ug/L	RCL	
T452000107520002	20220808	1240	WG	01051	Lead	<0.400	ug/L	RCL	
T452700107230017	20220809	1300	WG	01051	Lead	<0.400	ug/L	RCL	
T452700107430003	20220808	1330	WG	01051	Lead	<0.400	ug/L	RCL	
T453535107275515	20220809	1340	WS	01051	Lead	<0.400	ug/L	RCL	
T453200107250011	20220810	0750	WG	01051	Lead	<0.400	ug/L	RCL	
T450800107230004	20220809	0820	WG	01051	Lead	<0.400	ug/L	RCL	
T454300107330012	20220810	0840	WG	01051	Lead	<0.400	ug/L	RCL	
T453615107271309	20220810	0900	WS	01051	Lead	<0.400	ug/L	RCL	
T450754107240301	20220809	0910	WT	01051	Lead	0.7	ug/L	RCL	
T452540108321601	20220808	0920	WT	01051	Lead	<0.400	ug/L	RCL	
T453900107280021	20220810	0930	WG	01051	Lead	<0.400	ug/L	RCL	
T451257107225201	20220809	0930	WS	01051	Lead	<0.400	ug/L	RCL	
T451400107230005	20220809	0950	WG	01051	Lead	<0.400	ug/L	RCL	
T453657107270401	20220810	1000	WS	01055	Manganese	23	ug/L	RCL	
T452500108320026	20220808	1000	WT	01055	Manganese	<1.00	ug/L	RCL	
T453800107270022	20220810	1020	WG	01055	Manganese	39	ug/L	RCL	
T451800107210006	20220809	1030	WG	01055	Manganese	11	ug/L	RCL	
T451943107212513	20220809	1030	WS	01055	Manganese	32	ug/L	RCL	
T453500107270024	20220810	1100	WT	01055	Manganese	1	ug/L	RCL	
T451852107214501	20220809	1110	WT	01055	Manganese	52	ug/L	RCL	
T451800107220007	20220809	1140	WG	01055	Manganese	175	ug/L	RCL	
T453200107250023	20220810	1150	WG	01055	Manganese	5	ug/L	RCL	
T451800107540001	20220808	1200	WG	01055	Manganese	<1.00	ug/L	RCL	
T451257107225201	20220810	1200	WS	01055	Manganese	35	ug/L	RCL	
T452500107234008	20220809	1220	WG	01055	Manganese	11	ug/L	RCL	
T453254107251316	20220809	1225	WS	01055	Manganese	18	ug/L	RCL	
T453600107270018	20220810	1230	WT	01055	Manganese	4	ug/L	RCL	
T452000107520002	20220808	1240	WG	01055	Manganese	43	ug/L	RCL	
T452700107230017	20220809	1300	WG	01055	Manganese	1770	ug/L	RCL	
T452700107430003	20220808	1330	WG	01055	Manganese	6	ug/L	RCL	
T453535107275515	20220809	1340	WS	01055	Manganese	20	ug/L	RCL	
T453200107250011	20220810	0750	WG	01055	Manganese	4	ug/L	RCL	
T450800107230004	20220809	0820	WG	01055	Manganese	177	ug/L	RCL	
T454300107330012	20220810	0840	WG	01055	Manganese	1	ug/L	RCL	
T453615107271309	20220810	0900	WS	01055	Manganese	20	ug/L	RCL	
T450754107240301	20220809	0910	WT	01055	Manganese	4	ug/L	RCL	
T452540108321601	20220808	0920	WT	01055	Manganese	<1.00	ug/L	RCL	
T453900107280021	20220810	0930	WG	01055	Manganese	866	ug/L	RCL	
T451257107225201	20220809	0930	WS	01055	Manganese	39	ug/L	RCL	
T451400107230005	20220809	0950	WG	01055	Manganese	3	ug/L	RCL	
T453200107250011	20220810	0750	WG	01059	Thallium	<0.001	ug/L	ATECL	
T450800107230004	20220809	0820	WG	01059	Thallium	0.007	ug/L	ATECL	
T454300107330012	20220810	0840	WG	01059	Thallium	0.003	ug/L	ATECL	
T453900107280021	20220810	0930	WG	01059	Thallium	0.016	ug/L	ATECL	
T451400107230005	20220809	0950	WG	01059	Thallium	0.002	ug/L	ATECL	
T453657107270401	20220810	1000	WS	01059	Thallium	0.012	ug/L	ATECL	
T452500108320026	20220808	1000	WT	01059	Thallium	<0.001	ug/L	ATECL	
T453800107270022	20220810	1020	WG	01059	Thallium	<0.001	ug/L	ATECL	
T451800107210006	20220809	1030	WG	01059	Thallium	0.002	ug/L	ATECL	
T451943107212513	20220809	1030	WS	01059	Thallium	0.011	ug/L	ATECL	
T453500107270024	20220810	1100	WT	01059	Thallium	0.005	ug/L	ATECL	
T451852107214501	20220809	1110	WT	01059	Thallium	<0.001	ug/L	ATECL	
T451800107220007	20220809	1140	WG	01059	Thallium	<0.001	ug/L	ATECL	
T453200107250023	20220810	1150	WG	01059	Thallium	<0.001	ug/L	ATECL	
T451800107540001	20220808	1200	WG	01059	Thallium	0.003	ug/L	ATECL	
T451257107225201	20220810	1200	WS	01059	Thallium	0.007	ug/L	ATECL	
T452500107234008	20220809	1220	WG	01059	Thallium	0.001	ug/L	ATECL	
T453254107251316	20220809	1225	WS	01059	Thallium	0.008	ug/L	ATECL	
T453600107270018	20220810	1230	WT	01059	Thallium	0.004	ug/L	ATECL	
T452000107520002	20220808	1240	WG	01059	Thallium	0.033	ug/L	ATECL	
T452700107230017	20220809	1300	WG	01059	Thallium	0.006	ug/L	ATECL	
T452700107430003	20220808	1330	WG	01059	Thallium	0.026	ug/L	ATECL	
T453535107275515	20220809	1340	WS	01059	Thallium	0.009	ug/L	ATECL	
T453615107271309	20220810	0900	WS	01059	Thallium	0.011	ug/L	ATECL	
T450754107240301	20220809	0910	WT	01059	Thallium	<0.001	ug/L	ATECL	
T452540108321601	20220808	0920	WT	01059	Thallium	<0.001	ug/L	ATECL	
T451257107225201	20220809	0930	WS	01059	Thallium	0.009	ug/L	ATECL	
T453657107270401	20220810	1000	WS	01062	Molybdenum	<4.00	ug/L	RCL	
T452500108320026	20220808	1000	WT	01062	Molybdenum	<4.00	ug/L	RCL	
T453800107270022	20220810	1020	WG	01062	Molybdenum	<4.00	ug/L	RCL	
T451800107210006	20220809	1030	WG	01062	Molybdenum	<4.00	ug/L	RCL	
T451943107212513	20220809	1030	WS	01062	Molybdenum	<4.00	ug/L	RCL	
T453500107270024	20220810	1100	WT	01062	Molybdenum	5	ug/L	RCL	
T451852107214501	20220809	1110	WT	01062	Molybdenum	<4.00	ug/L	RCL	
T451800107220007	20220809	1140	WG	01062	Molybdenum	<4.00	ug/L	RCL	
T453200107250023	20220810	1150	WG	01062	Molybdenum	<4.00	ug/L	RCL	
T451800107540001	20220808	1200	WG	01062	Molybdenum	<4.00	ug/L	RCL	
T451257107225201	20220810	1200	WS	01062	Molybdenum	<4.00	ug/L	RCL	
T452500107234008	20220809	1220	WG	01062	Molybdenum	<4.00	ug/L	RCL	
T453254107251316	20220809	1225	WS	01062	Molybdenum	<4.00	ug/L	RCL	
T453600107270018	20220810	1230	WT	01062	Molybdenum	<4.00	ug/L	RCL	
T452000107520002	20220808	1240	WG	01062	Molybdenum	8	ug/L	RCL	
T452700107230017	20220809	1300	WG	01062	Molybdenum	<4.00	ug/L	RCL	
T452700107430003	20220808	1330	WG	01062	Molybdenum	<4.00	ug/L	RCL	
T453535107275515	20220809	1340	WS	01062	Molybdenum	<4.00	ug/L	RCL	
T453200107250011	20220810	0750	WG	01062	Molybdenum	<4.00	ug/L	RCL	
T450800107230004	20220809	0820	WG	01062	Molybdenum	<4.00	ug/L	RCL	
T454300107330012	20220810	0840	WG	01062	Molybdenum	5	ug/L	RCL	
T453615107271309	20220810	0900	WS	01062	Molybdenum	<4.00	ug/L	RCL	
T450754107240301	20220809	0910	WT	01062	Molybdenum	<4.00	ug/L	RCL	
T452540108321601	20220808	0920	WT	01062	Molybdenum	5	ug/L	RCL	
T453900107280021	20220810	0930	WG	01062	Molybdenum	<4.00	ug/L	RCL	
T451257107225201	20220809	0930	WS	01062	Molybdenum	<4.00	ug/L	RCL	
T451400107230005	20220809	0950	WG	01062	Molybdenum	<4.00	ug/L	RCL	
T453657107270401	20220810	1000	WS	01067	Nickel	<3.00	ug/L	RCL	
T452500108320026	20220808	1000	WT	01067	Nickel	<3.00	ug/L	RCL	
T453800107270022	20220810	1020	WG	01067	Nickel	<3.00	ug/L	RCL	
T451800107210006	20220809	1030	WG	01067	Nickel	<3.00	ug/L	RCL	
T451943107212513	20220809	1030	WS	01067	Nickel	<3.00	ug/L	RCL	
T453500107270024	20220810	1100	WT	01067	Nickel	<3.00	ug/L	RCL	
T451852107214501	20220809	1110	WT	01067	Nickel	<3.00	ug/L	RCL	
T451800107220007	20220809	1140	WG	01067	Nickel	<3.00	ug/L	RCL	
T453200107250023	20220810	1150	WG	01067	Nickel	<3.00	ug/L	RCL	
T451800107540001	20220808	1200	WG	01067	Nickel	<3.00	ug/L	RCL	
T451257107225201	20220810	1200	WS	01067	Nickel	<3.00	ug/L	RCL	
T452500107234008	20220809	1220	WG	01067	Nickel	<3.00	ug/L	RCL	
T453254107251316	20220809	1225	WS	01067	Nickel	<3.00	ug/L	RCL	
T453600107270018	20220810	1230	WT	01067	Nickel	<3.00	ug/L	RCL	
T452000107520002	20220808	1240	WG	01067	Nickel	<3.00	ug/L	RCL	
T452700107230017	20220809	1300	WG	01067	Nickel	<3.00	ug/L	RCL	
T452700107430003	20220808	1330	WG	01067	Nickel	<3.00	ug/L	RCL	
T453535107275515	20220809	1340	WS	01067	Nickel	<3.00	ug/L	RCL	
T453200107250011	20220810	0750	WG	01067	Nickel	<3.00	ug/L	RCL	
T450800107230004	20220809	0820	WG	01067	Nickel	<3.00	ug/L	RCL	
T454300107330012	20220810	0840	WG	01067	Nickel	<3.00	ug/L	RCL	
T453615107271309	20220810	0900	WS	01067	Nickel	<3.00	ug/L	RCL	
T450754107240301	20220809	0910	WT	01067	Nickel	<3.00	ug/L	RCL	
T452540108321601	20220808	0920	WT	01067	Nickel	<3.00	ug/L	RCL	
T453900107280021	20220810	0930	WG	01067	Nickel	<3.00	ug/L	RCL	
T451257107225201	20220809	0930	WS	01067	Nickel	<3.00	ug/L	RCL	
T451400107230005	20220809	0950	WG	01067	Nickel	<3.00	ug/L	RCL	
T453657107270401	20220810	1000	WS	01082	Strontium	427	ug/L	RCL	
T452500108320026	20220808	1000	WT	01082	Strontium	208	ug/L	RCL	
T453800107270022	20220810	1020	WG	01082	Strontium	1240	ug/L	RCL	
T451800107210006	20220809	1030	WG	01082	Strontium	530	ug/L	RCL	
T451943107212513	20220809	1030	WS	01082	Strontium	362	ug/L	RCL	
T453500107270024	20220810	1100	WT	01082	Strontium	424	ug/L	RCL	
T451852107214501	20220809	1110	WT	01082	Strontium	644	ug/L	RCL	
T451800107220007	20220809	1140	WG	01082	Strontium	5120	ug/L	RCL	
T453200107250023	20220810	1150	WG	01082	Strontium	125	ug/L	RCL	
T451800107540001	20220808	1200	WG	01082	Strontium	790	ug/L	RCL	
T451257107225201	20220810	1200	WS	01082	Strontium	331	ug/L	RCL	
T452500107234008	20220809	1220	WG	01082	Strontium	185	ug/L	RCL	
T453254107251316	20220809	1225	WS	01082	Strontium	405	ug/L	RCL	
T453600107270018	20220810	1230	WT	01082	Strontium	422	ug/L	RCL	
T452000107520002	20220808	1240	WG	01082	Strontium	1540	ug/L	RCL	
T452700107230017	20220809	1300	WG	01082	Strontium	4800	ug/L	RCL	
T452700107430003	20220808	1330	WG	01082	Strontium	511	ug/L	RCL	
T453535107275515	20220809	1340	WS	01082	Strontium	442	ug/L	RCL	
T453200107250011	20220810	0750	WG	01082	Strontium	118	ug/L	RCL	
T450800107230004	20220809	0820	WG	01082	Strontium	6410	ug/L	RCL	
T454300107330012	20220810	0840	WG	01082	Strontium	807	ug/L	RCL	
T453615107271309	20220810	0900	WS	01082	Strontium	423	ug/L	RCL	
T450754107240301	20220809	0910	WT	01082	Strontium	422	ug/L	RCL	
T452540108321601	20220808	0920	WT	01082	Strontium	165	ug/L	RCL	
T453900107280021	20220810	0930	WG	01082	Strontium	2840	ug/L	RCL	
T451257107225201	20220809	0930	WS	01082	Strontium	336	ug/L	RCL	
T451400107230005	20220809	0950	WG	01082	Strontium	7.5	ug/L	RCL	
T453657107270401	20220810	1000	WS	01092	Zinc	8	ug/L	RCL	
T452500108320026	20220808	1000	WT	01092	Zinc	15	ug/L	RCL	
T453800107270022	20220810	1020	WG	01092	Zinc	9	ug/L	RCL	
T451800107210006	20220809	1030	WG	01092	Zinc	7	ug/L	RCL	
T451943107212513	20220809	1030	WS	01092	Zinc	8	ug/L	RCL	
T453500107270024	20220810	1100	WT	01092	Zinc	17	ug/L	RCL	
T451852107214501	20220809	1110	WT	01092	Zinc	55	ug/L	RCL	
T451800107220007	20220809	1140	WG	01092	Zinc	29	ug/L	RCL	
T453200107250023	20220810	1150	WG	01092	Zinc	2	ug/L	RCL	
T451800107540001	20220808	1200	WG	01092	Zinc	11	ug/L	RCL	
T451257107225201	20220810	1200	WS	01092	Zinc	8	ug/L	RCL	
T452500107234008	20220809	1220	WG	01092	Zinc	15	ug/L	RCL	
T453254107251316	20220809	1225	WS	01092	Zinc	7	ug/L	RCL	
T453600107270018	20220810	1230	WT	01092	Zinc	10	ug/L	RCL	
T452000107520002	20220808	1240	WG	01092	Zinc	17	ug/L	RCL	
T452700107230017	20220809	1300	WG	01092	Zinc	20	ug/L	RCL	
T452700107430003	20220808	1330	WG	01092	Zinc	19	ug/L	RCL	
T453535107275515	20220809	1340	WS	01092	Zinc	8	ug/L	RCL	
T453200107250011	20220810	0750	WG	01092	Zinc	4	ug/L	RCL	
T450800107230004	20220809	0820	WG	01092	Zinc	61	ug/L	RCL	
T454300107330012	20220810	0840	WG	01092	Zinc	98	ug/L	RCL	
T453615107271309	20220810	0900	WS	01092	Zinc	7	ug/L	RCL	
T450754107240301	20220809	0910	WT	01092	Zinc	14	ug/L	RCL	
T452540108321601	20220808	0920	WT	01092	Zinc	8	ug/L	RCL	
T453900107280021	20220810	0930	WG	01092	Zinc	109	ug/L	RCL	
T451257107225201	20220809	0930	WS	01092	Zinc	8	ug/L	RCL	
T451400107230005	20220809	0950	WG	01092	Zinc	2	ug/L	RCL	
T453657107270401	20220810	1000	WS	01097	Antimony	<30.0	ug/L	RCL	
T452500108320026	20220808	1000	WT	01097	Antimony	<30.0	ug/L	RCL	
